우듬지팜,403490,"과실, 채소 가공 및 저장 처리업","스테비아 토마토, 대추방울 토마토, 완숙 토마토 등",2023.9.19,12월,"김호연, 윤동률",http://www.wdgfarm.com,충청남도
코어라인소프트,384470,소프트웨어 개발 및 공급업,의료영상 진단보조 솔루션,2023.9.18,12월,"김진국, 최정필",http://www.corelinesoft.com,서울특별시
상상인제4호스팩,452670,금융 지원 서비스업,합병,2023.9.14,12월,양범,,서울특별시
율촌,146060,1차 철강 제조업,냉간인발강관(파이프),2023.9.8,12월,"이흥해, 이인호",http://www.ycpipe.com,경기도
한화플러스제4호스팩,455310,금융 지원 서비스업,-,2023.9.7,12월,김민철,http://hanwha-plus-no4spac.com,서울특별시
대신밸런스제16호스팩,457630,금융 지원 서비스업,기타 금융서비스업,2023.9.4,12월,정재중,,서울특별시
유안타제11호스팩,444920,금융 지원 서비스업,금융 지원 서비스업,2023.9.1,12월,임원현,,서울특별시
크라우드웍스,355390,소프트웨어 개발 및 공급업,인공지능 데이터 구축 서비스,2023.8.31,12월,박민우,http://www.crowdworks.kr,서울특별시
대신밸런스제15호스팩,457390,금융 지원 서비스업,금융 지원 서비스업,2023.8.30,12월,신진호,,서울특별시
한국제12호스팩,458610,금융 지원 서비스업,기업인수합병,2023.8.30,12월,김진균,,서울특별시
시큐레터,418250,소프트웨어 개발 및 공급업,"SLE(이메일 보안), SLF(파일 보안)",2023.8.24,12월,임차성,http://www.seculetter.com/,경기도
스마트레이더시스템,424960,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",모빌리티 및 비모빌리티용 4D이미징레이다,2023.8.22,12월,김용환,http://www.smartradarsystem.com,경기도
빅텐츠,210120,"영화, 비디오물, 방송프로그램 제작 및 배급업","방송영상 제작, 공급",2023.8.17,12월,조윤정,http://victents.com,서울특별시
SK증권제10호스팩,457940,금융 지원 서비스업,기업인수합병,2023.8.11,12월,장희정,,서울특별시
KB제26호스팩,458320,금융 지원 서비스업,기업인수목적,2023.8.10,12월,주우식,,서울특별시
코츠테크놀로지,448710,컴퓨터 및 주변장치 제조업,"싱글보드컴퓨터(SBC), 군용 전시기 등",2023.8.10,12월,조지원,http://www.cotstech.com/,경기도
큐리옥스바이오시스템즈,445680,의료용 기기 제조업,세포 전처리 자동화기기 등,2023.8.10,12월,김남용,http://curiox.co.kr/,서울특별시
하나28호스팩,454750,금융 지원 서비스업,기업인수합병,2023.8.10,12월,오동호,,서울특별시
파두,440110,반도체 제조업,SSD 컨트롤러,2023.8.7,12월,"이지효,남이현",http://www.fadu.io/,서울특별시
엠아이큐브솔루션,373170,소프트웨어 개발 및 공급업,"스마트팩토리 솔루션, 제조지능화 솔루션",2023.8.4,12월,"박문원, 조영택",http://www.micube.co.kr,서울특별시
